,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,Year Built,Year Remod/Add,Exter Qual,Exter Cond,Overall Qual,Overall Cond,Gr Liv Area,Kitchen Qual,Garage Area,Garage Qual,Garage Cond,Sale Type,SalePrice
40,Reg,Lvl,Inside,Edwards,1Fam,1965,1965,Gd,TA,5,6,1256,TA,276.0,TA,TA,WD ,147500
41,Reg,Lvl,Inside,NridgHt,1Fam,2006,2006,Ex,TA,10,5,2076,Ex,850.0,TA,TA,New,465000
42,IR1,Lvl,Corner,Mitchel,1Fam,1978,1978,TA,Gd,5,6,1110,Gd,602.0,TA,TA,WD ,165500
43,Reg,Lvl,Inside,OldTown,1Fam,1954,1954,TA,TA,5,5,1795,TA,352.0,Fa,TA,WD ,131500
44,Reg,Lvl,Inside,Sawyer,1Fam,1965,1965,TA,TA,5,5,1040,TA,384.0,TA,TA,WD ,129500
45,IR1,HLS,Inside,Crawfor,1Fam,1935,1950,TA,TA,8,6,1873,TA,786.0,Fa,TA,WD ,257076
46,Reg,Lvl,Inside,Edwards,1Fam,1941,1960,TA,TA,5,5,1604,TA,660.0,TA,TA,WD ,117000
47,Reg,HLS,Inside,Crawfor,1Fam,1931,2000,TA,Fa,7,6,1502,TA,270.0,TA,TA,WD ,149000
48,Reg,Lvl,Inside,NAmes,1Fam,1954,1954,TA,TA,5,5,1063,TA,280.0,TA,TA,WD ,128000
49,Reg,Lvl,Inside,NridgHt,Twnhs,2003,2004,Gd,TA,7,5,1626,Gd,474.0,TA,TA,WD ,155000
50,Reg,Lvl,Inside,Somerst,TwnhsE,2000,2000,Gd,TA,6,5,1524,Gd,440.0,TA,TA,WD ,166000
51,Reg,Lvl,Inside,SWISU,1Fam,1928,1950,TA,TA,4,3,1981,Gd,576.0,TA,TA,WD ,135000
52,IR1,Lvl,Inside,NWAmes,1Fam,1978,1978,TA,TA,7,5,2784,Gd,564.0,TA,TA,WD ,250000
53,Reg,Lvl,Inside,MeadowV,Twnhs,1970,1970,TA,TA,4,7,1092,TA,0.0,,,WD ,76000
54,Reg,Lvl,Corner,NAmes,1Fam,1951,1951,TA,TA,6,6,1575,Gd,400.0,TA,TA,WD ,155000
55,Reg,Lvl,Corner,Sawyer,1Fam,1969,1969,TA,TA,6,7,1352,TA,299.0,TA,TA,WD ,158000
56,Reg,Lvl,Inside,Somerst,Twnhs,2004,2005,Gd,TA,7,5,1200,Gd,480.0,TA,TA,WD ,149500
57,Reg,Lvl,Inside,NAmes,1Fam,1954,1975,TA,Gd,5,6,936,TA,240.0,TA,TA,WD ,121000
58,Reg,Lvl,Inside,NAmes,1Fam,1953,1953,TA,TA,6,7,1040,TA,293.0,TA,TA,WD ,136000
59,IR2,Lvl,Corner,Gilbert,1Fam,1996,1996,TA,TA,6,5,1636,TA,386.0,TA,TA,WD ,173000
60,IR1,Lvl,CulDSac,NoRidge,1Fam,1999,2007,Gd,TA,8,7,2270,Gd,671.0,TA,TA,WD ,290000
61,Reg,Lvl,Inside,Somerst,1Fam,2007,2007,Gd,TA,8,5,2610,Ex,550.0,TA,TA,New,303477
62,IR1,Low,Inside,ClearCr,1Fam,1977,2001,Gd,Gd,7,7,1483,TA,690.0,TA,TA,WD ,270000
63,Reg,Lvl,Corner,OldTown,1Fam,1920,1950,Fa,Fa,5,5,1740,Ex,225.0,Fa,Fa,WD ,122250
64,Reg,Lvl,Inside,NAmes,1Fam,1955,1955,TA,TA,5,5,1382,Gd,350.0,TA,TA,WD ,153000
65,Reg,Lvl,Inside,Mitchel,1Fam,2007,2007,TA,TA,5,5,1120,TA,0.0,,,New,147000
66,Reg,Lvl,Inside,Crawfor,1Fam,1930,1995,TA,TA,7,8,1098,TA,216.0,TA,TA,WD ,148500
67,Reg,Lvl,Inside,Edwards,TwnhsE,2004,2004,Gd,TA,7,5,1708,Gd,380.0,TA,TA,WD ,130000
68,IR1,HLS,Corner,NridgHt,1Fam,2006,2006,Ex,TA,9,5,1802,Ex,843.0,TA,TA,WD ,372000
69,Reg,Lvl,Inside,Blmngtn,TwnhsE,2005,2005,Gd,TA,7,5,1506,Gd,440.0,TA,TA,WD ,213490
70,IR2,Lvl,Inside,Edwards,1Fam,2009,2010,Gd,TA,7,5,1508,Gd,572.0,TA,TA,Con,308030
71,IR2,Lvl,Inside,Mitchel,1Fam,1996,1997,Gd,TA,7,5,2032,Gd,786.0,TA,TA,WD ,300000
72,Reg,Lvl,Corner,NAmes,1Fam,1959,1959,TA,TA,6,6,1194,TA,539.0,TA,TA,WD ,159500
73,Reg,Lvl,Inside,Edwards,Twnhs,2004,2004,Gd,TA,7,5,1709,Gd,380.0,TA,TA,WD ,137500
74,Reg,Lvl,Inside,Somerst,1Fam,2005,2005,Gd,TA,7,5,1616,Gd,834.0,TA,TA,WD ,232000
75,IR1,Lvl,Inside,IDOTRR,1Fam,1930,1950,Gd,Gd,6,6,768,TA,440.0,TA,TA,WD ,93850
76,Reg,Lvl,Inside,Sawyer,1Fam,1924,1950,TA,TA,5,5,872,Fa,322.0,Fa,Fa,WD ,105000
77,IR1,Lvl,Inside,BrkSide,1Fam,1927,1950,TA,TA,4,6,520,Fa,240.0,Fa,TA,WD ,68500
78,Reg,Lvl,Corner,NAmes,Duplex,1960,1960,TA,TA,5,5,2274,TA,480.0,TA,TA,WD ,154300
79,Reg,Lvl,Inside,IDOTRR,1Fam,1925,2003,Gd,Gd,5,7,1601,TA,0.0,,,WD ,129850
80,Reg,Lvl,Inside,OldTown,1Fam,1910,1950,TA,TA,5,7,1232,TA,480.0,Fa,Fa,WD ,114000
81,IR1,Lvl,CulDSac,StoneBr,1Fam,2008,2009,Ex,TA,9,5,2234,Ex,1166.0,TA,TA,New,501837
82,IR1,Lvl,Inside,OldTown,1Fam,1915,1950,TA,TA,5,8,1416,TA,720.0,TA,TA,WD ,153900
83,Reg,Lvl,FR2,NAmes,1Fam,1971,2006,TA,Gd,4,7,864,TA,576.0,TA,TA,WD ,130000
84,Reg,Lvl,FR2,Mitchel,TwnhsE,1997,1997,TA,TA,6,5,1189,TA,392.0,TA,TA,WD ,160500
85,Reg,Lvl,Inside,NridgHt,TwnhsE,2006,2006,Ex,TA,9,5,1666,Gd,575.0,TA,TA,New,310090
86,Reg,Lvl,Inside,SawyerW,1Fam,2003,2003,Gd,TA,7,5,1200,Gd,555.0,TA,TA,WD ,184900
87,Reg,Lvl,Inside,NAmes,1Fam,1956,2000,TA,TA,5,7,928,TA,252.0,TA,TA,WD ,132000
88,Reg,Lvl,Inside,NWAmes,1Fam,1969,1969,TA,TA,5,5,1336,TA,502.0,TA,TA,WD ,163000
89,Reg,Lvl,Inside,Somerst,TwnhsE,2004,2004,Gd,TA,7,5,1200,Gd,480.0,TA,TA,ConLD,155000
90,IR1,Lvl,Inside,NWAmes,1Fam,1969,1969,TA,TA,6,6,1427,TA,516.0,TA,TA,WD ,183000
91,IR3,Lvl,Corner,CollgCr,1Fam,1996,2002,Gd,TA,7,5,1992,Gd,608.0,TA,TA,WD ,211000
92,Reg,Lvl,Inside,SawyerW,1Fam,1994,1994,Gd,TA,7,5,1540,Gd,495.0,TA,TA,WD ,184000
93,Reg,Bnk,Inside,SawyerW,Duplex,1979,1979,TA,TA,5,5,1535,TA,400.0,TA,TA,WD ,118858
94,IR1,Lvl,Corner,NAmes,1Fam,1964,1964,TA,TA,5,7,1152,TA,484.0,TA,TA,WD ,180500
95,IR1,Lvl,Inside,Somerst,TwnhsE,2006,2007,Gd,TA,8,5,1151,Gd,484.0,TA,TA,New,166000
96,Reg,Lvl,Inside,Sawyer,1Fam,1960,1960,TA,TA,6,5,1138,TA,480.0,TA,TA,COD,148000
97,IR1,Lvl,Inside,NAmes,1Fam,1956,1956,TA,TA,5,5,1074,Gd,396.0,TA,TA,WD ,124000
98,Reg,Lvl,Inside,NridgHt,TwnhsE,2005,2005,Ex,TA,9,5,1561,Ex,556.0,TA,TA,WD ,277500
99,IR1,Lvl,Inside,NoRidge,1Fam,1995,1995,Gd,TA,8,5,2726,Gd,725.0,TA,TA,WD ,350000
100,IR1,HLS,CulDSac,StoneBr,1Fam,2004,2004,Ex,TA,9,5,1884,Ex,670.0,TA,TA,WD ,387000
101,IR1,Lvl,Inside,Edwards,1Fam,1920,2002,TA,TA,4,7,605,TA,0.0,,,WD ,86000
102,Reg,Lvl,Inside,Veenker,1Fam,1976,2007,Ex,Ex,8,9,1671,Ex,550.0,TA,TA,WD ,290000
103,Reg,Lvl,Corner,IDOTRR,1Fam,1900,1950,TA,Fa,3,3,797,TA,0.0,,,WD ,44000
104,IR1,Lvl,CulDSac,Mitchel,1Fam,2001,2002,TA,TA,6,5,1961,Gd,560.0,TA,TA,WD ,215000
105,IR1,Lvl,Corner,NWAmes,2fmCon,1972,1972,TA,TA,5,6,1193,TA,501.0,TA,TA,WD ,146500
106,Reg,Lvl,FR2,Somerst,Twnhs,2000,2000,Gd,TA,7,5,1382,Gd,490.0,TA,TA,WD ,165000
107,Reg,Lvl,Inside,OldTown,1Fam,1916,1950,TA,Gd,6,7,2526,Gd,216.0,TA,TA,CWD,136000
108,IR1,Low,CulDSac,NAmes,1Fam,1957,1957,TA,TA,6,6,1390,Ex,550.0,TA,TA,WD ,252000
109,Reg,Lvl,Inside,NridgHt,Twnhs,2003,2003,Gd,TA,7,5,1626,Gd,474.0,TA,TA,WD ,175500
110,Reg,Lvl,Inside,OldTown,1Fam,1939,1950,TA,TA,5,6,1558,TA,400.0,TA,TA,WD ,150000
111,IR1,Lvl,Inside,NAmes,1Fam,1960,1978,TA,TA,5,5,1422,TA,286.0,TA,TA,WD ,139900
112,Reg,Lvl,Inside,BrkSide,1Fam,1930,1992,TA,TA,5,7,1573,TA,360.0,TA,TA,WD ,162900
113,IR1,Lvl,Corner,NAmes,1Fam,1962,1962,TA,TA,6,6,1116,TA,440.0,TA,TA,WD ,160000
114,Reg,Lvl,Corner,Sawyer,1Fam,1947,1950,TA,TA,2,2,660,Fa,0.0,,,WD ,63900
115,Reg,Lvl,Inside,NWAmes,1Fam,1978,1998,TA,TA,6,5,1707,TA,479.0,TA,TA,WD ,184000
116,Reg,Lvl,Inside,Edwards,1Fam,1959,1959,TA,TA,5,4,1466,Fa,528.0,TA,TA,WD ,149900
117,IR1,Lvl,Inside,Somerst,TwnhsE,2000,2000,Gd,TA,9,5,1638,Ex,495.0,TA,TA,WD ,300000
118,Reg,Lvl,Corner,ClearCr,1Fam,1960,1960,TA,TA,5,3,1721,TA,626.0,TA,TA,WD ,145000
119,IR1,Lvl,Inside,CollgCr,1Fam,1997,1997,TA,TA,6,5,1764,Gd,470.0,TA,TA,WD ,231500
120,Reg,Lvl,Inside,Edwards,1Fam,1940,1969,TA,TA,5,6,996,TA,0.0,,,WD ,108000
121,Reg,Lvl,Inside,NAmes,1Fam,1956,1956,TA,TA,5,5,1202,TA,304.0,TA,TA,COD,120000
122,IR1,Lvl,Inside,Sawyer,1Fam,1961,1961,TA,TA,5,5,988,TA,572.0,TA,TA,WD ,128500
123,Reg,Lvl,Inside,OldTown,1Fam,1927,1950,TA,TA,5,6,1028,TA,360.0,TA,TA,WD ,115000
124,Reg,Lvl,Inside,OldTown,1Fam,1947,1950,TA,TA,5,7,1284,TA,240.0,TA,TA,WD ,110000
125,IR1,Lvl,CulDSac,Veenker,1Fam,1977,1977,Gd,Gd,9,3,2944,Gd,864.0,TA,TA,WD ,150000
126,IR1,Lvl,Inside,Gilbert,1Fam,2004,2004,Gd,TA,8,5,1414,Gd,403.0,TA,TA,WD ,178000
127,IR1,HLS,Inside,Crawfor,1Fam,1932,1990,TA,TA,7,7,1609,Gd,579.0,TA,TA,WD ,199500
128,IR1,Lvl,Inside,Gilbert,1Fam,1997,1998,TA,TA,6,5,1525,TA,400.0,TA,TA,WD ,183500
129,Reg,Lvl,Inside,IDOTRR,1Fam,1967,1967,Fa,TA,5,5,1656,TA,288.0,TA,TA,WD ,126000
130,Reg,Lvl,Inside,NPkVill,Twnhs,1977,1977,TA,TA,7,6,1055,TA,440.0,TA,TA,WD ,148500
131,Reg,Lvl,Inside,OldTown,1Fam,1939,2006,TA,Gd,5,7,1352,Gd,720.0,TA,TA,WD ,149000
132,Reg,Lvl,Inside,NPkVill,Twnhs,1977,1977,TA,TA,6,5,1456,TA,440.0,TA,TA,WD ,137900
133,IR1,Lvl,CulDSac,Veenker,TwnhsE,1993,1993,Gd,TA,8,5,1719,Gd,473.0,TA,TA,Con,324000
134,Reg,Lvl,Inside,Edwards,1Fam,1925,1950,TA,TA,5,6,864,TA,0.0,,,WD ,98000
135,Reg,Lvl,Inside,BrDale,Twnhs,1973,1973,TA,TA,6,5,987,TA,264.0,TA,TA,WD ,103400
136,Reg,Lvl,Inside,Sawyer,1Fam,1875,1996,TA,Gd,5,8,1020,TA,0.0,,,WD ,94000
137,Reg,Lvl,Inside,NridgHt,Twnhs,2006,2006,Gd,TA,8,5,1554,Gd,627.0,TA,TA,WD ,209500
138,IR1,HLS,CulDSac,StoneBr,1Fam,2006,2006,Ex,TA,10,5,3390,Ex,758.0,TA,TA,New,545224
139,Reg,Lvl,Inside,OldTown,1Fam,1912,2009,Gd,Gd,6,8,1560,Gd,0.0,,,WD ,159900
140,Reg,Lvl,Corner,Gilbert,1Fam,1951,1951,TA,TA,4,5,864,TA,400.0,TA,TA,WD ,141000
141,IR1,Lvl,Inside,Gilbert,1Fam,2000,2000,TA,TA,6,5,1889,TA,431.0,TA,TA,WD ,215000
142,IR1,Lvl,Corner,Sawyer,1Fam,1962,2010,TA,Gd,5,8,1040,TA,260.0,TA,TA,WD ,127000
143,Reg,Lvl,Inside,Edwards,1Fam,1954,1998,TA,TA,5,7,1172,TA,366.0,TA,TA,WD ,128000
144,IR1,Lvl,Inside,Somerst,1Fam,2010,2010,Gd,TA,8,5,1418,Gd,852.0,TA,TA,New,267916
145,Reg,Lvl,Inside,BrkSide,1Fam,1931,1950,TA,TA,6,6,1367,TA,560.0,TA,TA,WD ,127500
146,Reg,Lvl,Corner,Edwards,1Fam,2003,2003,Gd,TA,7,5,1922,Gd,672.0,TA,TA,ConLD,198500
147,IR1,Lvl,Inside,NWAmes,1Fam,1981,1981,TA,Gd,6,6,1422,Gd,576.0,TA,TA,WD ,175500
148,Reg,Lvl,Inside,CollgCr,1Fam,2000,2000,Gd,TA,7,5,1842,Gd,486.0,TA,TA,WD ,217500
149,Reg,Lvl,Inside,OldTown,1Fam,1915,1950,TA,Fa,4,5,1962,TA,572.0,TA,TA,WD ,149500
150,Reg,Lvl,Inside,NAmes,1Fam,1966,2004,Gd,TA,5,7,1120,TA,656.0,TA,TA,WD ,148800
151,IR1,Lvl,Inside,StoneBr,1Fam,2005,2006,Gd,TA,9,5,2868,Ex,716.0,TA,TA,New,556581
152,Reg,Lvl,Inside,NAmes,1Fam,1957,1957,TA,TA,6,3,1478,TA,442.0,TA,TA,WD ,156500
153,Reg,Lvl,Corner,CollgCr,1Fam,1995,1996,Gd,Gd,7,5,1995,Gd,610.0,TA,TA,WD ,237000
154,IR1,Lvl,Inside,NAmes,1Fam,1958,1985,TA,TA,5,7,912,TA,297.0,TA,TA,WD ,120000
155,IR1,Lvl,Corner,Gilbert,1Fam,2005,2005,TA,TA,6,5,1326,Gd,388.0,TA,TA,WD ,203000
156,IR1,Lvl,Inside,StoneBr,TwnhsE,1987,1987,TA,TA,8,5,1204,TA,461.0,TA,TA,WD ,130000
157,Reg,Lvl,Inside,NAmes,1Fam,1964,1964,TA,TA,6,6,1611,TA,442.0,TA,TA,WD ,167900
158,Reg,Lvl,Inside,BrkSide,2fmCon,1970,1970,TA,TA,4,5,960,TA,576.0,TA,TA,WD ,129000
159,IR1,Lvl,Inside,NAmes,1Fam,1957,1996,TA,TA,5,6,1236,Gd,447.0,TA,TA,WD ,134450
160,Reg,Lvl,Inside,Sawyer,1Fam,1918,2007,TA,Gd,5,7,1416,Gd,576.0,TA,TA,WD ,112000
161,IR1,Lvl,Inside,SawyerW,1Fam,1988,1988,Gd,TA,7,5,1873,Gd,619.0,TA,TA,WD ,207000
162,Reg,Bnk,Inside,OldTown,Duplex,1922,1950,TA,TA,5,1,2128,TA,0.0,,,WD ,62500
163,Reg,Lvl,Inside,NridgHt,Twnhs,2003,2004,Gd,TA,7,5,1626,Gd,474.0,TA,TA,WD ,154000
164,IR1,Lvl,Corner,NAmes,1Fam,1957,1957,TA,TA,5,7,816,TA,308.0,TA,TA,WD ,129900
165,Reg,Lvl,Inside,MeadowV,TwnhsE,1976,1976,TA,TA,5,3,1112,TA,336.0,TA,TA,WD ,85000
166,Reg,Lvl,Inside,OldTown,1Fam,1926,1950,TA,TA,7,7,1111,TA,288.0,TA,TA,WD ,116900
167,Reg,Lvl,Inside,NPkVill,Twnhs,1978,1978,TA,TA,6,6,1441,TA,440.0,TA,TA,WD ,148500
168,Reg,Lvl,Inside,Edwards,2fmCon,1941,1950,TA,Fa,4,4,924,Fa,280.0,TA,TA,WD ,80000
169,IR1,Lvl,CulDSac,Sawyer,1Fam,1984,1984,TA,TA,5,5,1126,TA,506.0,TA,TA,WD ,152000
170,Reg,Lvl,Corner,Edwards,1Fam,1954,1954,TA,Gd,5,6,992,TA,319.0,TA,TA,Oth,155891
171,Reg,Bnk,Inside,BrkSide,1Fam,1920,1950,TA,Gd,6,7,1376,Gd,576.0,TA,TA,WD ,165000
172,Reg,Lvl,Inside,Somerst,1Fam,2009,2010,Gd,TA,7,5,1218,Gd,676.0,TA,TA,New,204500
173,Reg,Lvl,Inside,NAmes,1Fam,1942,1995,TA,TA,5,7,1644,Gd,312.0,TA,TA,WD ,146500
174,IR1,Lvl,Inside,NWAmes,1Fam,1978,1978,TA,TA,7,5,1601,TA,478.0,TA,TA,COD,157000
175,Reg,Lvl,Inside,OldTown,1Fam,1890,1999,TA,TA,7,7,2495,TA,342.0,TA,Fa,WD ,184000
176,IR1,Lvl,Inside,Gilbert,1Fam,2002,2003,Gd,TA,6,5,1509,Gd,393.0,TA,TA,WD ,183200
177,Reg,Lvl,Inside,Sawyer,1Fam,1962,1962,TA,TA,5,5,1092,TA,288.0,TA,TA,WD ,139000
178,Reg,Lvl,Inside,NoRidge,1Fam,1993,1994,Gd,TA,7,5,2418,Gd,983.0,TA,TA,WD ,341000
179,Reg,Lvl,Inside,BrDale,Twnhs,1971,1971,TA,TA,6,5,987,TA,264.0,TA,TA,COD,96000
180,Reg,Lvl,Corner,Edwards,1Fam,2003,2004,TA,TA,4,5,1121,TA,440.0,TA,TA,WD ,140000
181,Reg,Lvl,Inside,OldTown,1Fam,1957,1996,TA,TA,6,7,1236,TA,923.0,TA,TA,WD ,149700
182,Reg,Lvl,Inside,NWAmes,1Fam,1975,1975,TA,TA,5,6,1074,TA,495.0,TA,TA,WD ,153500
183,Reg,Low,Inside,IDOTRR,1Fam,1952,1952,Fa,Po,1,5,733,Fa,487.0,Fa,Po,WD ,13100
184,Reg,Lvl,Inside,CollgCr,1Fam,2003,2003,Gd,TA,7,5,1768,Gd,543.0,TA,TA,WD ,224900
185,Reg,Lvl,Inside,Somerst,1Fam,2005,2005,Gd,TA,7,5,1266,Gd,453.0,TA,TA,WD ,176000
186,Reg,Lvl,Inside,NoRidge,1Fam,1992,2000,Gd,TA,8,5,2872,Gd,541.0,TA,TA,WD ,285000
187,IR1,Lvl,CulDSac,Somerst,1Fam,2007,2007,Gd,TA,8,5,1464,Gd,754.0,TA,TA,WD ,282922
188,Reg,Lvl,Corner,NAmes,1Fam,1966,1966,TA,TA,7,6,2157,Gd,487.0,TA,TA,WD ,226000
189,IR1,Lvl,Inside,StoneBr,1Fam,2006,2006,Ex,TA,8,5,2576,Ex,666.0,TA,TA,New,361919
190,IR1,HLS,CulDSac,StoneBr,1Fam,2005,2006,Gd,Ex,9,5,2798,Ex,670.0,TA,TA,New,457347
191,IR1,Low,Inside,ClearCr,1Fam,1976,1976,Gd,TA,8,6,1743,Gd,529.0,TA,TA,WD ,279000
192,IR1,Lvl,Inside,Mitchel,1Fam,1977,1977,TA,TA,6,5,1567,Gd,714.0,TA,TA,WD ,196000
193,Reg,Lvl,Inside,NWAmes,1Fam,1976,1976,TA,TA,7,5,1370,TA,479.0,TA,TA,WD ,152000
194,Reg,Lvl,Inside,NAmes,Duplex,1969,1969,TA,TA,5,5,2634,TA,968.0,TA,TA,WD ,200000
195,Reg,Lvl,Inside,CollgCr,1Fam,2005,2006,Gd,TA,8,5,1590,Ex,754.0,TA,TA,New,294900
196,Reg,Lvl,Inside,SawyerW,1Fam,2008,2009,Gd,TA,7,5,1450,Gd,788.0,TA,TA,New,224243
197,Reg,Bnk,Corner,Edwards,1Fam,1915,1950,TA,Fa,6,3,1338,TA,528.0,TA,TA,WD ,92000
198,IR1,Lvl,Inside,Gilbert,1Fam,2007,2007,Gd,TA,7,5,1456,Gd,400.0,TA,TA,New,179540
199,Reg,Lvl,Inside,NridgHt,1Fam,2003,2003,Ex,TA,10,5,2392,Ex,968.0,TA,TA,WD ,386250
200,Reg,Lvl,Inside,MeadowV,Twnhs,1970,1970,TA,TA,4,5,992,TA,297.0,TA,TA,WD ,106500
201,Reg,Lvl,Inside,Somerst,1Fam,2008,2008,Ex,TA,10,5,2007,Ex,812.0,TA,TA,WD ,310000
202,Reg,Lvl,Inside,NoRidge,1Fam,1998,1998,Gd,TA,7,5,2385,Gd,600.0,TA,TA,WD ,252000
203,Reg,Lvl,Inside,Crawfor,1Fam,1941,1950,TA,Gd,7,5,1646,TA,240.0,TA,TA,WD ,164000
204,Reg,Lvl,Inside,Gilbert,1Fam,2007,2007,Gd,TA,7,5,1456,Gd,400.0,TA,TA,New,177594
205,Reg,Lvl,Inside,BrkSide,1Fam,1936,1980,TA,TA,5,7,1040,TA,624.0,TA,TA,WD ,123900
206,IR1,Lvl,Inside,Crawfor,1Fam,1918,1950,TA,TA,6,6,2624,TA,864.0,TA,TA,WD ,239000
207,Reg,Bnk,Inside,Mitchel,1Fam,1965,1977,TA,TA,5,5,1264,TA,528.0,TA,TA,WD ,169000
208,Reg,Lvl,Inside,Blmngtn,TwnhsE,2003,2004,Gd,TA,7,5,1557,Gd,420.0,TA,TA,WD ,234000
209,Reg,Bnk,Inside,Mitchel,1Fam,1977,1977,TA,TA,6,7,1287,TA,541.0,TA,TA,WD ,173000
